序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4903,301081,严牌股份,10.9,-3.02,-0.34,26277.0,29181965.8,3.91,11.32,10.88,11.32,11.24,1.52,3.11,38.58,2.33,2232363600.0,919785600.0,0.0,0.09,3.91,16.33
4904,301098,金埔园林,11.21,-3.03,-0.35,35609.0,40361448.65,4.93,11.67,11.1,11.59,11.56,1.56,3.3,31.63,1.56,1775664000.0,1210384493.0,0.18,0.27,-6.66,7.48
4905,600293,三峡新材,3.2,-3.03,-0.1,188853.0,61056572.0,4.24,3.32,3.18,3.3,3.3,1.46,1.63,108.87,2.18,3712464147.0,3712464147.0,0.0,0.31,-0.31,25.98
4906,002442,龙星化工,5.44,-3.03,-0.17,67521.0,37161312.0,3.39,5.63,5.44,5.63,5.61,1.3,1.39,19.28,1.57,2670060800.0,2642285292.0,-0.18,0.0,5.43,7.51
4907,600765,中航重机,20.12,-3.04,-0.63,153146.0,311771444.0,4.05,20.9,20.06,20.71,20.75,1.97,1.04,21.62,2.64,29617627691.0,29549813291.0,-0.05,0.0,-25.37,-34.95
4908,300473,德尔股份,18.49,-3.04,-0.58,49843.0,93655227.0,4.35,19.27,18.44,19.1,19.07,0.91,3.33,190.49,1.87,2781935526.0,2765329417.0,0.11,-0.05,5.36,24.34
4909,300021,大禹节水,4.78,-3.04,-0.15,108312.0,52431641.63,3.25,4.94,4.78,4.92,4.93,1.73,1.55,84.8,2.26,4101504812.0,3350741746.0,-0.21,0.0,-2.05,9.38
4910,000042,中洲控股,6.37,-3.04,-0.2,107296.0,68553799.09,5.94,6.64,6.25,6.58,6.57,1.59,1.62,-29.95,0.57,4234974355.0,4229612331.0,-0.31,-0.31,-12.02,-19.67
4911,600682,南京新百,7.96,-3.05,-0.25,335964.0,269539442.0,3.05,8.17,7.92,8.08,8.21,1.65,2.88,20.2,0.61,10715212479.0,9273879789.0,-0.38,-0.38,1.4,-12.62
4912,605158,华达新材,7.64,-3.05,-0.24,42388.0,32748226.0,3.05,7.88,7.64,7.88,7.88,1.02,0.83,12.91,1.68,3907248800.0,3907248800.0,-0.13,-0.39,10.25,21.66
4913,300743,天地数码,13.68,-3.05,-0.43,27179.0,37693582.17,4.11,14.23,13.65,14.16,14.11,0.98,2.1,39.41,4.87,2098860607.0,1768095143.0,0.0,0.07,-13.42,20.85
4914,300871,回盛生物,14.63,-3.05,-0.46,16763.0,24884493.0,3.91,15.22,14.63,15.09,15.09,1.07,1.01,122.35,1.76,2426929122.0,2425128754.0,-0.2,0.0,-5.92,-27.21
4915,002235,安妮股份,8.58,-3.05,-0.27,803895.0,696632314.76,5.76,8.93,8.42,8.74,8.85,0.8,14.66,-364.14,5.03,4972730197.0,4703873040.0,0.0,0.0,-1.15,15.79
4916,003000,劲仔食品,12.07,-3.05,-0.38,75021.0,90905974.32,5.14,12.51,11.87,12.43,12.45,1.25,3.38,30.66,4.38,5444404749.0,2682935520.0,0.58,-0.33,13.87,4.32
4917,002696,百洋股份,6.67,-3.05,-0.21,208897.0,140767943.1,4.51,6.93,6.62,6.9,6.88,0.66,6.08,202.3,1.61,2310236288.0,2291422932.0,0.6,0.6,1.21,-11.42
4918,600828,茂业商业,3.81,-3.05,-0.12,66075.0,25423956.0,3.56,3.92,3.78,3.91,3.93,1.13,0.38,26.6,0.92,6598853500.0,6596482290.0,0.26,0.0,0.0,1.06
4919,600266,城建发展,5.39,-3.06,-0.17,256875.0,139063855.0,3.42,5.55,5.36,5.55,5.56,0.74,1.14,15.25,0.6,12162737664.0,12162737664.0,0.0,0.19,-20.62,18.46
4920,300720,海川智能,12.99,-3.06,-0.41,19271.0,25350358.8,3.66,13.43,12.94,13.36,13.4,1.01,1.11,67.49,4.34,2531455555.0,2251193642.0,0.23,0.08,-4.56,0.39
4921,600653,申华控股,1.9,-3.06,-0.06,259403.0,50000310.0,3.57,1.97,1.9,1.96,1.96,1.39,1.33,-39.73,4.09,3698122602.0,3698122602.0,0.0,0.0,4.4,0.53
4922,000058,深 赛 格,7.28,-3.06,-0.23,227243.0,167436447.57,2.8,7.49,7.28,7.49,7.51,1.16,2.31,47.76,4.36,8963140892.0,7168591277.0,-0.14,-0.27,5.97,-7.73
4923,002492,恒基达鑫,6.01,-3.06,-0.19,91046.0,55159986.14,3.55,6.2,5.98,6.2,6.2,1.93,2.29,21.11,1.47,2434050000.0,2392771769.0,0.0,0.33,1.35,-2.12
4924,002743,富煌钢构,5.69,-3.07,-0.18,47856.0,27650590.0,3.24,5.88,5.69,5.88,5.87,1.18,1.1,20.99,0.78,2476677640.0,2472196765.0,-0.18,-0.18,-0.7,7.56
4925,600836,上海易连,3.79,-3.07,-0.12,73059.0,27927764.0,4.6,3.94,3.76,3.94,3.91,1.12,1.1,-191.71,2.24,2535332143.0,2521271243.0,0.26,0.53,-5.96,-40.22
4926,603017,中衡设计,9.78,-3.07,-0.31,27896.0,27603677.0,3.96,10.16,9.76,10.1,10.09,1.51,1.01,21.54,1.88,2698358509.0,2698358509.0,-0.1,0.0,-5.78,10.38
4927,000698,沈阳化工,4.1,-3.07,-0.13,75855.0,31522218.93,3.31,4.24,4.1,4.24,4.23,1.47,0.97,-8.16,1.98,3360009020.0,3221412939.0,-0.24,-0.24,-3.3,-25.99
4928,603829,洛凯股份,14.82,-3.07,-0.47,12896.0,19359311.0,3.53,15.34,14.8,15.31,15.29,0.88,0.81,22.89,2.6,2371200000.0,2371200000.0,-0.13,-0.07,-0.2,42.09
4929,603332,苏州龙杰,9.76,-3.08,-0.31,41082.0,40648670.0,3.97,10.11,9.71,10.06,10.07,1.41,1.9,-114.41,1.72,2111548516.0,2111548516.0,0.21,0.41,9.29,19.9
4930,600213,亚星客车,9.76,-3.08,-0.31,75761.0,74734154.0,4.37,10.15,9.71,10.1,10.07,0.74,2.65,-25.76,35.55,2791360000.0,2791360000.0,-0.1,0.0,5.51,-19.54
4931,002159,三特索道,15.42,-3.08,-0.49,30645.0,47784376.0,3.46,15.92,15.37,15.88,15.91,0.92,2.22,15.32,2.16,2733986432.0,2128406949.0,0.0,0.06,-4.16,-11.89
4932,600708,光明地产,2.2,-3.08,-0.07,319014.0,70818377.0,3.08,2.26,2.19,2.26,2.27,1.12,1.43,286.6,0.45,4903000835.0,4895611096.0,-0.45,0.46,-8.33,-10.2
4933,300883,龙利得,6.6,-3.08,-0.21,80492.0,53804882.0,3.96,6.85,6.58,6.8,6.81,1.3,2.45,237.74,1.6,2283600000.0,2167725945.0,0.15,0.0,-0.15,11.3
4934,002305,南国置业,2.2,-3.08,-0.07,446752.0,99276287.01,3.96,2.27,2.18,2.26,2.27,0.86,2.58,-2.84,3.26,3815274694.0,3815027207.0,0.46,0.92,-1.79,-24.4
4935,000638,万方发展,6.6,-3.08,-0.21,113669.0,75784811.0,4.85,6.87,6.54,6.8,6.81,1.38,3.67,-129.3,11.65,2051230837.0,2043040567.0,0.0,0.3,3.77,-6.65
4936,603377,东方时尚,5.34,-3.09,-0.17,66141.0,35632818.0,3.81,5.53,5.32,5.51,5.51,0.8,0.92,94.89,1.72,3848823316.0,3848823316.0,0.19,0.0,-21.35,-16.95
4937,600565,迪马股份,1.57,-3.09,-0.05,300187.0,47616165.0,4.32,1.63,1.56,1.63,1.62,1.27,1.2,-7.61,0.83,3911664866.0,3911664866.0,0.64,0.0,-11.8,-27.31
4938,000809,铁岭新城,3.14,-3.09,-0.1,79004.0,25035314.0,4.94,3.28,3.12,3.28,3.24,1.33,0.96,-23.18,0.91,2589844660.0,2589844660.0,0.32,0.0,-14.21,8.65
4939,301002,崧盛股份,19.76,-3.09,-0.63,11343.0,22699692.4,3.48,20.47,19.76,20.29,20.39,0.83,1.95,95.82,3.18,2428034285.0,1151035768.0,-0.1,-0.1,0.46,-10.18
4940,300126,锐奇股份,6.9,-3.09,-0.22,45303.0,31714714.0,3.65,7.16,6.9,7.13,7.12,1.23,2.15,259.61,1.92,2097307440.0,1451507488.0,-0.14,-0.14,-0.43,23.88
4941,833171,国航远洋,4.07,-3.1,-0.13,120516.0,50236316.29,5.0,4.25,4.04,4.22,4.2,0.83,5.48,218.4,1.66,2260508334.0,894383623.0,0.25,-0.25,12.43,-0.97
4942,002769,普路通,8.45,-3.1,-0.27,43727.0,37471274.0,3.44,8.73,8.43,8.69,8.72,1.17,1.32,-37.54,2.41,3154537556.0,2793675836.0,0.0,0.12,-1.29,2.3
4943,002687,乔治白,5.32,-3.1,-0.17,95816.0,51650581.36,3.64,5.51,5.31,5.49,5.49,1.21,2.38,16.03,1.86,2659744832.0,2139590652.0,0.0,-0.19,5.14,12.95
